RegionID,RegionName,RegionType
394547,"Durango, CO",msa
394444,"Carson City, NV",msa
394977,"Picayune, MS",msa
394993,"Poplar Bluff, MO",msa
394566,"Elko, NV",msa
395157,"Tiffin, OH",msa
394721,"Jasper, IN",msa
395131,"Sterling, IL",msa
753920,"Sonora, CA",msa
394951,"Oxford, MS",msa
394571,"Enterprise, AL",msa
394316,"Alice, TX",msa
395234,"Winona, MN",msa
395029,"Rochelle, IL",msa
394625,"Galesburg, IL",msa
394478,"Clovis, NM",msa
395097,"Sidney, OH",msa
394878,"Morgan City, LA",msa
394608,"Fort Polk South, LA",msa
394919,"Norfolk, NE",msa
394379,"Bemidji, MN",msa
394504,"Cortland, NY",msa
395043,"Ruston, LA",msa
394477,"Clinton, IA",msa
395017,"Red Wing, MN",msa
395201,"Wapakoneta, OH",msa
394427,"Burlington, IA",msa
395189,"Vicksburg, MS",msa
394695,"Huntingdon, PA",msa
394785,"Lewisburg, PA",msa
395087,"Seymour, IN",msa
394349,"Auburn, IN",msa
395032,"Rock Springs, WY",msa
394297,"Aberdeen, SD",msa
394895,"Muscatine, IA",msa
394558,"El Campo, TX",msa
753866,"Big Stone Gap, VA",msa
394397,"Blytheville, AR",msa
394627,"Garden City, KS",msa
394844,"McComb, MS",msa
394771,"Laramie, WY",msa
395203,"Warren, PA",msa
395227,"Williston, ND",msa
394715,"Jacksonville, IL",msa
394315,"Alexandria, MN",msa
395099,"Sikeston, MO",msa
394560,"El Dorado, AR",msa
394799,"Lock Haven, PA",msa
394522,"DeRidder, LA",msa
394526,"Defiance, OH",msa
394904,"Natchitoches, LA",msa
395072,"Scottsbluff, NE",msa
394451,"Centralia, IL",msa
394554,"Easton, MD",msa
394499,"Corinth, MS",msa
394370,"Bay City, TX",msa
394948,"Owatonna, MN",msa
394385,"Big Spring, TX",msa
394525,"Decatur, IN",msa
394702,"Hutchinson, MN",msa
394419,"Brookings, SD",msa
394920,"North Platte, NE",msa
394992,"Pontiac, IL",msa
395211,"Watertown, SD",msa
394557,"Effingham, IL",msa
753902,"Malvern, AR",msa
394535,"Dixon, IL",msa
394491,"Columbus, NE",msa
394536,"Dodge City, KS",msa
394533,"Dickinson, ND",msa
395165,"Troy, AL",msa
394984,"Plainview, TX",msa
753892,"Jackson, OH",msa
395150,"Taylorville, IL",msa
